name;ID;x_outlet;y_outlet;Area
Le Nançon à Lécousse;J0014010;-1.1969568604160916;48.375655132019354;64.45
Le Couesnon à Romazy;J0121510;-1.503745859059222;48.36531907912927;517.0
La Loisance à Saint-Ouen-la-Rouërie;J0144010;-1.435855882240197;48.42793080585114;82.1
Le Guyoult à Epiniac;J0323010;-1.6889799838002604;48.526031916408165;62.7
La Rance à Saint-Jouan-de-l'Isle;J0611610;-2.1675321374450247;48.2539211762568;143.5
La Rance à Guenroc;J0621610;-2.0587982593180154;48.31624097097431;374.4
Le Néal à Médréac;J0626610;-2.0430026491361564;48.272594670282984;83.3
Le Frémur [de Lancieux] à Pleslin-Trigavou;J1004520;-2.0747680169766287;48.5506584271653;36.5
L'Arguenon à Jugon-les-Lacs;J1103010;-2.3332736935155984;48.4027631924661;103.5
Le Quiloury à Plénée-Jugon;J1105810;-2.382994352108405;48.37099836811236;37.11
La Rosette à Mégrit;J1114010;-2.2529987627158;48.365001153894376;112.9
Le Frémur [d'Hénanbihen] à Pléboulle;J1205410;-2.3599337570398555;48.59370508464936;68.0
Le Gouessant à Andel;J1313010;-2.5682242503183104;48.484595266406366;244.345
L'Evron à Coëtmieux;J1324010;-2.605986702885513;48.49024743776506;139.3
L'Urne à Plédran;J1405310;-2.751783713847731;48.466641187669154;43.0
Le Gouët à Saint-Julien;J1513010;-2.833271318962518;48.446601452676084;135.9
La Maudouve à Saint-Donan;J1524010;-2.8482431205840357;48.46728809481116;29.2
L'Ic à Binic;J1614010;-2.852587819191859;48.60107222487757;79.4
Le Trieux à Saint-Péver;J1711710;-3.1146733504230757;48.483281741736654;183.39
Le Leff à Boqueho;J1803010;-2.951239907670819;48.48227914220376;42.12
Le Leff à Quemper-Guézennec et à Yvias;J1813010;-3.0677407309657068;48.70556466961038;339.7
Le Jaudy à Mantallot;J2023010;-3.2702226709954596;48.71366823185491;165.32
Le Guindy à Plouguiel;J2034010;-3.2570229566318782;48.782283057399574;123.1
Le Guic à Guerlesquin;J2213110;-3.588932392284431;48.5028242036427;7.3
Le Léguer à Belle-Isle-en-Terre;J2233010;-3.3984123726390942;48.54711261073743;265.0
Le Léguer à Pluzunet;J2233020;-3.4143143875515864;48.63578229619872;358.5
Le Yar à Tréduder;J2314910;-3.577470628114401;48.64685840985261;58.1
Le Douron au Ponthou;J2404010;-3.645629335044643;48.55618144851683;25.8
Le Jarlot à Plougonven;J2603010;-3.800030486069051;48.56653823301507;43.5
Le Tromorgant à Plougonven;J2605410;-3.7971065911389257;48.56685922055321;41.7
La Penzé à Taulé;J2723010;-3.9236776368050146;48.58580125518657;141.6
L'Horn à Mespaul;J3014330;-4.014233462548412;48.60485906160622;38.35
[L'Aber Wrac'h (branche ouest)] au Drennec;J3205710;-4.362252243957318;48.53138382866941;24.7
L'Aber Benoît à Plabennec;J3213020;-4.406933609013107;48.52422717717193;26.9
L'Elorn à Sizun;J3403010;-4.023984991736442;48.38998893385508;24.93
L'Elorn à Commana;J3403020;-4.00011102530421;48.384558285539896;9.5
[Le ruisseau de Mougau Bihan] à Commana;J3404110;-3.9939749991460407;48.397015366140764;8.64
L'Elorn à Plouédern;J3413030;-4.220066002077181;48.46920486996099;260.5
La Mignonne à Irvillac;J3514010;-4.214590857385881;48.387165676659684;66.4
L'Aulne à Poullaouen;J3601810;-3.66792314319724;48.389297997242856;117.6
L'Aulne à Gouézec;J3821810;-3.9861341282525378;48.19039647898658;1390.9
L'Aulne à Châteaulin;J3821820;-4.0930784805733;48.19657991856182;1483.4
La Douffine à Lopérec;J3834010;-4.060592901454152;48.26015131924527;138.73
Le Pont l'Abbé à Plonéour-Lanvern;J4124420;-4.241340949672901;47.90797666396934;32.0
[Le Troyon] à Plonéour-Lanvern;J4125720;-4.249899826085639;47.90775441274777;11.9
L'Odet à Ergué-Gabéric;J4211910;-4.063647376938676;48.005901777597664;203.2
Le Langelin à Briec;J4214510;-3.9870315651482837;48.10287103571531;7.17
Le Jet à Ergué-Gabéric;J4224010;-4.014022052121506;47.98886625272671;107.43
Le Moros à Concarneau;J4514010;-3.874935869897395;47.88391553572111;21.0
L'Hôpital [Le Styval] à Concarneau;J4515420;-3.87780163519371;47.88830036522117;23.24
Le Stêr Goz à Bannalec;J4614010;-3.7517336773541734;47.90781218632476;72.1
L'Aven à Pont-Aven [Voie express];J4623020;-3.7349252668751456;47.88518672311322;167.2
L'Inam au Faouët;J4734010;-3.5560603737041765;48.04803890737365;118.27
L'Isole à Scaër;J4803010;-3.670999430811581;47.98803126708354;102.0
L'Ellé [La Laïta] à Quimperlé;J4902010;-3.541113177555388;47.863696362074215;831.89
Le Scorff à Plouay;J5102210;-3.419114192393074;47.90566366302742;299.79
Le Blavet à Kerien;J5202110;-3.2510971450877126;48.391676448115895;19.18
Le Moulin de l'Estolet à Kerien;J5205210;-3.24444888481656;48.38750605393447;13.19
Le Sulon à Sainte-Tréphine;J5224010;-3.152569123899432;48.25604979482298;120.5
Le Blavet à Plélauff;J5402120;-3.1304828050661215;48.212282410661494;567.0
Le Blavet à Mûr-de-Bretagne;J5412110;-3.0190348447525923;48.190428280398486;675.3
L'Evel à Guénin;J5613010;-2.97472620890932;47.90089763284069;315.23
Le Frémeur à Guénin;J5618310;-2.9532814739836475;47.93736762085216;15.5
Le Moulin de Tallené [Le Sebrevet] à Quistinic;J5704810;-3.2008286424545145;47.905138733428636;45.5
L'Auray [Le Loch] à Brech;J6213010;-2.9893504315797483;47.72245480419874;183.6
La Valière à Erbrée;J7024010;-1.12699883213378;48.10899617731933;30.8
La Veuvre [Le Chevré] à la Bouëxière;J7083110;-1.49865103384684;48.183171774662235;151.29
L'Ille à Montreuil-sur-Ille;J7103010;-1.6726083710539057;48.296367959387645;102.79
L'Illet à Chasné-sur-Illet;J7114010;-1.5748500636118505;48.24733310417338;111.46
La Flume à Pacé;J7214010;-1.7799370709263562;48.1810302112679;91.71
Le Meu à Gaël;J7313010;-2.2171952480433794;48.12692369299412;132.2
Le Garun à Iffendic;J7344010;-1.9936208823746144;48.1700101313349;94.6
Le Meu à Montfort-sur-Meu;J7353010;-1.9442785065876182;48.12847096991182;473.1
La Chèze à Plélan-le-Grand;J7364220;-2.0395354490630826;48.00894314082728;9.9
Le Canut [nord] à Maxent;J7513010;-1.9934022921775254;47.995547275865306;24.8
Le Semnon à Bain-de-Bretagne;J7633010;-1.630103849908395;47.860161685616106;404.1
La Chère à Châteaubriant [Béré];J7803020;-1.3880001360534424;47.719002069713504;61.5
L'Aron à Grand-Fougeray et à Mouais;J7824010;-1.6903811135644127;47.71317258796862;111.9
Le Canut [sud] à Saint-Just;J7973010;-1.9791567828677636;47.77626545367728;39.96
Le Lié à la Prénessaye et à Plémet;J8133010;-2.622065044685945;48.20202467809422;298.4
L'Yvel à Loyat;J8363110;-2.367996684344361;47.99399782164757;300.25
La Claie à Saint-Marcel;J8443010;-2.423764735124451;47.78693904152435;290.4
Le canal de Nantes à Brest [L'Oust] à Saint-Gravé;J8502310;-2.2562470756827273;47.73850554309216;2453.5
L'Aff à Paimpont;J8602410;-2.1433013329775594;47.98259575747091;29.0
L'Aff à Quelneuc;J8632410;-2.0738272514939373;47.82909713709588;344.85
L'Arz à Molac;J8813010;-2.4321257874960733;47.716966178469434;141.48
